var,i,h,n,index_extra,value,lb,ub
x,beans,H3,,,7.0,0.0,15.0
x,beans,H1,,,2.0,0.0,3.0
x,beans,H2,,,6.0,0.0,9.0
x,apples,H3,,,1.0,0.0,15.0
x,apples,H1,,,3.0,0.0,3.0
x,apples,H2,,,4.0,0.0,9.0
x,milk,H3,,,4.0,0.0,15.0
x,milk,H1,,,3.0,0.0,3.0
x,milk,H2,,,9.0,0.0,9.0
x,rice,H3,,,8.999999999999998,0.0,15.0
x,rice,H1,,,3.0,0.0,3.0
x,rice,H2,,,9.0,0.0,9.0
u,cal,H3,,,0.6166315789473684,0.0,1.0
u,cal,H1,,,0.9942857142857142,0.0,1.0
u,cal,H2,,,1.0,0.0,1.0
u,calc,H3,,,0.14750000000000002,0.0,1.0
u,calc,H1,,,0.4090000000000001,0.0,1.0
u,calc,H2,,,0.47879999999999995,0.0,1.0
u,prot,H3,,,1.0,0.0,1.0
u,prot,H1,,,1.0,0.0,1.0
u,prot,H2,,,1.0,0.0,1.0
y,beans,,,,3.000000000000001,0,
y,apples,,,,0.0,0,
y,milk,,,,6.000000000000002,0,
y,rice,,,,0.9999999999999974,0,
dpos,beans,H3,,,0.0,0,
dpos,beans,H1,,,0.33333333499999984,0,
dpos,beans,H2,,,1.0000000050000004,0,
dpos,apples,H3,,,0.0,0,
dpos,apples,H1,,,2.111111112,0,
dpos,apples,H2,,,1.333333336,0,
dpos,milk,H3,,,0.0,0,
dpos,milk,H1,,,1.2222222239999998,0,
dpos,milk,H2,,,3.666666671999999,0,
dpos,rice,H3,,,0.0,0,
dpos,rice,H1,,,0.6666666690000004,0,
dpos,rice,H2,,,2.000000007,0,
dneg,beans,H3,,,1.3333333400000003,0,
dneg,beans,H1,,,0.0,0,
dneg,beans,H2,,,0.0,0,
dneg,apples,H3,,,3.4444444479999996,0,
dneg,apples,H1,,,0.0,0,
dneg,apples,H2,,,0.0,0,
dneg,milk,H3,,,4.888888896,0,
dneg,milk,H1,,,0.0,0,
dneg,milk,H2,,,0.0,0,
dneg,rice,H3,,,2.6666666759999984,0,
dneg,rice,H1,,,0.0,0,
dneg,rice,H2,,,0.0,0,
epsilon,,,,,,0,
